Marital_Status,Occupation,Num_Bank_Accounts,Num_Credit_Cards,Credit_Utilization_Ratio,Outstanding_Debt,Monthly_Balance,Credit_Score,Credit_Mix,Num_Loans,Loan_Types,Credit_Inquiries,Total_EMI,Min_Amount_Paid,Payment_Behaviour,Collateral_Type,Collateral_Value,Interest_Rate,Due_Date_Delay,Delayed_Payments,Credit_Limit_Change
In a Relationship,Journalist,3,1,33.026576221574885,1829.59,506.34778008833894,Standard,_,2.0,sdv-pii-8994h,2.0,2037.1047902856437,,Low_spent_Medium_value_payments,No Collateral,26931,7,17,1.0,2.19757764505799
Single,Accountant,3,1,33.205815304517735,4569.63,457.33635941947784,Standard,_,-3.0,sdv-pii-bbo7i,14.0,0.0,,Low_spent_Small_value_payments,Bonds,185214,60,5,10.0,-1.7489464359459506
Widowed,Entrepreneur,9,1,29.880314929128062,4984.82,606.0391238670427,Standard,Good,6.0,sdv-pii-wsa1b,6.0,0.0,,Low_spent_Small_value_payments,No Collateral,31362,44,-5,1.0,0.5730526884179978
Engaged,Lawyer,10,1,38.52369142089514,4984.82,612.2705630381594,Standard,Good,-3.0,sdv-pii-ynk2h,6.0,0.0,,Low_spent_Large_value_payments,Bonds,164977,113,18,1.0,0.670935432768653
Separated,Developer,6,1,34.37798977084411,1699.79,515.9375172766674,Good,Good,3.0,sdv-pii-3hbz9,1.0,0.0,,High_spent_Small_value_payments,Vehicle,139228,109,-1,17.0,3.7585566563052932
Single,Engineer,5,1,41.51328788148247,1113.66,65.77090310342805,Good,Good,-5.0,sdv-pii-gjwho,2.0,3355.304677607551,,High_spent_Small_value_payments,Property,199002,58,19,13.0,3.2521183056809404
Widowed,Doctor,3,1,24.108870443447266,1854.22,493.0568688748467,Standard,_,3.0,sdv-pii-rx37i,9.0,0.0,,!@9#%8,Stocks,85854,71,31,21.0,12.802812391571482
Separated,Mechanic,10,1,34.02790698516175,4964.01,465.5930332803417,Good,Standard,2.0,sdv-pii-lvbfh,9.0,1097.4944225077018,,High_spent_Small_value_payments,Stocks,194566,102,4,10.0,-2.4282182829218444
Single,Musician,13,1,41.51328788148247,4117.06,506.8006517849266,Good,Bad,-4.0,sdv-pii-ge8ir,11.0,81050.0,,High_spent_Small_value_payments,Vehicle,31848,110,2,13.0,0.6365896792399521
Married,Lawyer,1,2,22.53759303178384,4695.83,589.9518398474361,Standard,Bad,1.0,sdv-pii-8d1fy,5.0,0.0,,!@9#%8,Property,65576,63,14,8.0,3.545319141846943
Separated,Entrepreneur,4,1,35.684015768950346,4591.57,408.86774410811626,Standard,Standard,1.0,sdv-pii-1vrel,6.0,4766.614363154855,,!@9#%8,No Collateral,38680,66,3,11.0,-1.3486386526203527
Married,Manager,4,1,41.51328788148247,1801.43,369.97293068003125,Standard,Good,-2.0,sdv-pii-8kyls,12.0,918.1361472350388,,Low_spent_Small_value_payments,Stocks,18193,77,2,3.0,0.15752412474819177
Married,Entrepreneur,5,1,40.55710856163818,4984.82,559.0727235445758,Standard,Standard,-2.0,sdv-pii-xd0up,11.0,3758.7151920762617,,Low_spent_Small_value_payments,No Collateral,0,57,-5,21.0,0.0939320798987584
Married,Writer,2,1,39.20798242805533,1427.3,476.98807659275406,Good,Bad,-7.0,sdv-pii-gxobs,4.0,0.0,,High_spent_Large_value_payments,Stocks,35741,92,62,1.0,2.1708691454135964
Married,Accountant,5,19,34.238540169545765,2001.58,227.41564143632235,Standard,Bad,2.0,sdv-pii-sivg9,1.0,269.73510613291216,,Low_spent_Small_value_payments,Property,193842,46,-3,19.0,2.1300714578452338
Single,Lawyer,5,1,35.1929610242903,2100.0,311.57934379341043,Good,Standard,-1.0,sdv-pii-zagh1,13.0,3770.616427645811,,High_spent_Large_value_payments,Property,119686,93,-3,11.0,9.971027472779944
Single,Manager,0,35,40.6583065556408,1734.5,603.6163545077111,Poor,Good,-4.0,sdv-pii-5iuns,12.0,745.5132017396088,,High_spent_Large_value_payments,No Collateral,143740,1,-5,2.0,-0.5823224083903442
Married,Journalist,7,1,22.626731540271415,4636.28,607.3096878404382,Good,_,3.0,sdv-pii-g63vu,2.0,0.0,,Low_spent_Medium_value_payments,No Collateral,109287,72,21,8.0,1.770744433311906
Separated,Accountant,4,1,37.34007541661905,790.52,25.29240814195305,Poor,Standard,4.0,sdv-pii-wgbv5,12.0,2528.864987673437,,Low_spent_Small_value_payments,No Collateral,95459,106,12,14.0,1.3518449712366758
Single,Media_Manager,3,1,28.121351827690294,3546.97,603.4780684706504,Standard,Standard,-1.0,sdv-pii-cuyol,3.0,4573.926921062977,,Low_spent_Small_value_payments,No Collateral,71618,76,9,7.0,1.2908225565373037
Married,Entrepreneur,3,1,38.60782179122084,4131.4,297.6207822806975,Standard,_,0.0,sdv-pii-9wwty,4.0,1358.7229090575956,,Low_spent_Small_value_payments,Property,64369,37,36,1.0,0.13637011216539285
Widowed,Media_Manager,0,1,41.51328788148247,3089.2,627.010512932872,Poor,Standard,3.0,sdv-pii-g0qug,2.0,570.3957901316298,,High_spent_Medium_value_payments,Property,199002,90,43,12.0,2.077153261311441
Widowed,Writer,7,1,31.211954530536428,1871.31,618.1307856036126,Good,Good,-2.0,sdv-pii-jkins,7.0,4068.505225471104,,Low_spent_Small_value_payments,Vehicle,104759,85,-5,18.0,0.9548218571168352
Single,Lawyer,8,1,30.780101267516173,2115.15,585.186272868592,Standard,Good,7.0,sdv-pii-1mr3f,3.0,0.0,,!@9#%8,Stocks,84917,35,-3,2.0,3.059294319907659
Single,Developer,4,1,41.51328788148247,4984.82,455.1680524481096,Standard,Standard,2.0,sdv-pii-mw36n,7.0,1723.2189598801224,,Low_spent_Small_value_payments,No Collateral,65030,71,-3,19.0,1.1103925993459125
Single,Scientist,6,1,41.51328788148247,1789.45,541.3115101610217,Poor,Standard,-2.0,sdv-pii-hoe4z,12.0,578.0699840596286,,Low_spent_Small_value_payments,Vehicle,128503,90,-3,18.0,0.7083834475807409
